ID;Name;Value;Default Value;Minumum;Maximum;Unit;Description
1;EM Pallet Conveyor: Speed Go To Infeed;100.0;100.0;50.0;200.0;[mm/s];-
2;EM Pallet Conveyor: Speed Go To Centering;100.0;100.0;50.0;200.0;[mm/s];-
3;EM Pallet Conveyor: Speed Go To Docking;50.0;50.0;50.0;200.0;[mm/s];-
4;EM Pallet Conveyor: Centering Duration;3000.0;3000.0;0.0;10000.0;[ms];-
5;EM Docking Interface: Open Clamps After Closing Timeout;0.0;0.0;0.0;1.0;[Y/N];-
6;EM Docking Interface: Close Clamps After Each Other;1.0;1.0;0.0;1.0;[Y/N];-
7;EM Docking Interface: Compress Seal Duration;3000.0;3000.0;0.0;10000.0;[ms];-
8;EM Lifting Transport: Auto Recovery To Idle;0.0;0.0;0.0;1.0;[Y/N];-
9;EM Lifting Transport: Trolley (Un)Lock-Check min. time;3000.0;3000.0;0.0;10000.0;[ms];-
10;EM Lifting Transport: Trolley (Un)Lock-Check max. time (timeout);10000.0;10000.0;0.0;10000.0;[ms];-
11;EM Lifting Transport: Trolley At-Cabin-Check min. time;3000.0;3000.0;0.0;10000.0;[ms];-
12;EM Lifting Transport: Trolley At-Cabin-Check max. time (timeout);10000.0;10000.0;0.0;10000.0;[ms];-
13;EM Lifting Transport: Wait For Next Step;0.0;0.0;0.0;1.0;[Y/N];-
